18 42 19 42 1.0
22 44 21 44 1.0
26 60 27 60 1.0
4 10 5 10 1.0
6 14 7 14 1.0
11 22 10 22 1.0
13 26 12 26 1.0
14 32 15 32 1.0
15 32 16 32 1.0
15 33 16 33 1.0
16 35 17 35 1.0
17 36 18 36 1.0
18 37 17 37 1.0
18 39 19 39 1.0
18 42 19 42 1.0
19 42 20 42 1.0
19 43 20 43 1.0
20 41 19 41 1.0
20 45 21 45 1.0
20 47 21 47 1.0
21 44 20 44 1.0
21 46 22 46 1.0
21 47 22 47 1.0
21 48 22 48 1.0
23 48 22 48 1.0
23 49 22 49 1.0
24 48 23 48 1.0
24 51 23 51 1.0
25 52 24 52 1.0
25 53 24 53 1.0
25 54 24 54 1.0
26 55 25 55 1.0
26 59 27 59 1.0
26 60 27 60 1.0
27 56 26 56 1.0
27 57 26 57 1.0
27 58 26 58 1.0
27 60 28 60 1.0
28 56 27 56 1.0
28 57 27 57 1.0
28 59 27 59 1.0
28 63 29 63 1.0
28 66 29 66 1.0
29 67 30 67 1.0
30 65 29 65 1.0
30 72 31 72 1.0
31 67 30 67 1.0
31 68 30 68 1.0
31 72 32 72 1.0
32 68 31 68 1.0
32 69 31 69 1.0
32 71 31 71 1.0
33 72 32 72 1.0
33 73 32 73 1.0
33 74 32 74 1.0
33 76 32 76 1.0
33 77 34 77 1.0
34 72 33 72 1.0
34 75 33 75 1.0
34 79 35 79 1.0
34 83 35 83 1.0
35 76 34 76 1.0
35 77 34 77 1.0
35 82 36 82 1.0
36 79 35 79 1.0
36 81 35 81 1.0
36 85 37 85 1.0
37 83 36 83 1.0
37 84 36 84 1.0
37 86 36 86 1.0
38 82 37 82 1.0
38 83 37 83 1.0
38 85 37 85 1.0
38 89 39 89 1.0
38 90 39 90 1.0
39 86 38 86 1.0
39 87 38 87 1.0
39 88 38 88 1.0
39 90 40 90 1.0
39 91 40 91 1.0
40 86 39 86 1.0
40 88 39 88 1.0
40 89 39 89 1.0
40 93 41 93 1.0
40 95 41 95 1.0
41 91 40 91 1.0
41 94 42 94 1.0
41 95 42 95 1.0
41 96 42 96 1.0
42 93 41 93 1.0
42 99 43 99 1.0
43 95 42 95 1.0
43 96 42 96 1.0
43 97 42 97 1.0
43 98 44 98 1.0
43 99 44 99 1.0
44 97 43 97 1.0
44 103 45 103 1.0
